id,name,description,founder_email,funding_goal,amount_raised,status,created_at
1669,Ranganathan Inc,Soluta qui cumque voluptatum velit perferendis quisquam. Nesciunt molestiae vitae sapiente quibusdam ab consectetur. Distinctio odit maiores. Sapiente tempore sequi rem eveniet incidunt.,gopalsahota710@gmail.com,6681240.05,5734696.73,rejected,2023-01-23
1670,"Arora, Garde and Nadig",Nisi placeat officiis vitae cupiditate cum molestias. Ipsa ducimus consequatur quaerat inventore suscipit ipsum.,devvenkatesh153@gmail.com,6093467.14,5585263.32,rejected,2023-04-24
1671,"Prashad, Rajan and Dar","Aliquam ab ducimus accusamus quas. Possimus nesciunt libero dolores cumque quisquam molestias ducimus.
Culpa dolores eos vitae vel voluptate.",rakshapant811@gmail.com,4522135.8,4404276.59,approved,2021-10-18
1672,Chaudhari Ltd,"Accusantium nihil assumenda a dolores autem explicabo porro. Iste repellat maxime expedita atque distinctio. Laboriosam beatae quis.
Tenetur veniam nisi. Ex velit rem assumenda alias suscipit.",urvashibadal57@gmail.com,4266351.18,1458838.0,rejected,2022-03-17
1673,Swamy and Sons,Provident ducimus blanditiis molestiae necessitatibus. Cumque veritatis labore optio ea labore magni. Enim dolorum eligendi fugit praesentium. Optio nemo dicta magni explicabo quisquam.,frederickpradhan339@gmail.com,4216483.7,3379027.7,approved,2020-08-12
1674,Chokshi Ltd,Debitis totam dicta nostrum saepe ut pariatur. Labore officia facilis pariatur nemo commodi voluptates dolorum. Natus aspernatur autem nemo.,urvisaran305@gmail.com,3155179.63,68305.27,pending,2024-04-29
1675,Verma Inc,Exercitationem quisquam odio quis fuga laboriosam. Placeat veritatis atque earum. Harum illo deserunt distinctio placeat.,charviramakrishnan85@gmail.com,8230751.38,2240509.02,approved,2020-02-21
1676,Narayan-Rau,"Necessitatibus qui veritatis facilis corporis esse eum. Minus ut commodi nesciunt corporis.
Quisquam dolore numquam ipsam. Maxime quo velit delectus nemo corporis quaerat.",niharikajoshi351@gmail.com,4355359.06,3770954.44,pending,2021-11-20
1677,"Kumer, Balay and Gour",Delectus doloribus in explicabo nemo optio consequuntur. Molestias adipisci corrupti nemo ab corporis. Vitae molestias cum error.,shivanikaran597@gmail.com,7434317.04,1365574.63,rejected,2024-04-12
1678,Oza LLC,"Maxime tempora aliquam aut quaerat.
Esse voluptatem neque perspiciatis quos laborum laboriosam.",andrewjani632@gmail.com,8042632.1,7075202.97,approved,2024-09-11
1679,"Chopra, Rama and Sawhney","Nesciunt harum consequatur sequi eius. Consequatur rerum dicta voluptates voluptates.
Voluptatibus excepturi deleniti atque quo dolores itaque. Accusantium dolore nostrum quis.",prisharana914@gmail.com,6996621.8,6862696.29,approved,2023-07-01
1680,"Pingle, Babu and Peri","Esse quod quisquam officia quae accusantium quaerat. Voluptatum cupiditate necessitatibus iusto deleniti.
Omnis veritatis ex incidunt quam ab. Quibusdam reiciendis nemo nemo.",ijayasetty377@gmail.com,4136759.37,283721.41,pending,2020-01-16
1681,Manda-Chad,Magni doloremque vitae animi fugit voluptatibus quaerat tempore. Amet minus magnam quas dolore itaque hic.,ekanshshankar685@gmail.com,5807460.18,3620740.2,rejected,2022-12-19
1682,Iyengar LLC,Reprehenderit tempora praesentium cum commodi inventore. Quibusdam veniam sapiente odit ut earum.,jagratichandra627@gmail.com,4951608.79,1825955.3,approved,2021-05-16
1683,"Kant, Pall and Virk",Quidem nobis eaque consequuntur dolor eaque occaecati. Mollitia similique ratione aperiam tenetur saepe inventore. Tenetur perspiciatis aspernatur blanditiis doloremque cupiditate.,rushilbhavsar286@gmail.com,3192596.28,2776845.43,rejected,2021-03-07
1684,Mitra Ltd,"Aliquam assumenda odio voluptatem.
Temporibus aliquam tempore earum. Excepturi eius saepe eius.",diyamajumdar512@gmail.com,5648718.56,478707.47,rejected,2022-06-29
1685,"Sahni, Bora and Dhaliwal",Amet quas excepturi quidem. Fugiat error voluptatem corrupti adipisci sit.,ladlibora301@gmail.com,2641920.42,1374334.71,pending,2021-08-22
1686,Purohit-Gandhi,Molestiae minus excepturi nostrum blanditiis eos consequuntur rerum. Vero dolor quibusdam.,abhananda473@gmail.com,7375358.78,3518044.41,pending,2020-01-15
1687,Deo-Tara,Eveniet facilis deleniti dolorum. Nam aspernatur omnis voluptatem. Placeat deleniti distinctio illo veritatis.,jalsamangat569@gmail.com,4070765.41,421268.33,pending,2020-11-17
1688,Majumdar-Kalla,Fugiat soluta sint praesentium unde vero officiis. Quas eos minima animi in provident doloremque.,bhavyavarty694@gmail.com,5402319.31,3965456.26,pending,2023-10-09
1689,"Bora, Dass and Bora",Itaque voluptas fuga pariatur magnam placeat. Asperiores dolorem eaque officia ipsam perspiciatis laboriosam.,harshilwali727@gmail.com,5566575.74,2173091.35,approved,2023-10-05
1690,Gupta Group,Accusantium voluptates ullam in quis consequuntur. Odit fugit in doloremque veritatis. Necessitatibus possimus vero.,vrittisood116@gmail.com,4482190.05,2516371.66,pending,2023-10-12
1691,"Narula, Rana and Buch",Laborum pariatur quas. Iste placeat ratione praesentium aspernatur hic. Repudiandae debitis accusamus dignissimos reiciendis perspiciatis ut.,omajasheth38@gmail.com,6173387.6,5851974.56,pending,2024-06-19
1692,"Kashyap, Sama and Mistry","Placeat cumque aspernatur minus nisi. Repudiandae possimus voluptas blanditiis tempora esse adipisci.
Repellendus explicabo reiciendis. Animi inventore voluptas aliquid harum.",urmitank826@gmail.com,4050192.69,3020138.22,rejected,2020-11-14
1693,"Choudhury, Bhatia and Saxena",Hic placeat et quidem iusto temporibus delectus. Consequuntur cumque dolorem ut recusandae occaecati.,sneharavi452@gmail.com,6742594.59,2382923.95,approved,2024-01-20
1694,"Rajagopal, Kapur and Gole",Nam facilis facilis sequi. Suscipit mollitia inventore architecto.,iryarau19@gmail.com,2308040.64,840727.88,rejected,2021-07-13
1695,Shan-Sarraf,"Eveniet est quam animi. Quae laboriosam odio quidem quibusdam.
Nulla exercitationem aperiam odio similique vitae. Dolor quisquam officia praesentium nostrum quos.",vanyasandhu719@gmail.com,5252759.16,2061364.06,rejected,2022-02-14
1696,Ray-Kalita,Necessitatibus facere ratione maxime. Vel incidunt cumque voluptate voluptatum.,matthewsama773@gmail.com,8877858.0,6918057.54,pending,2021-02-23
1697,"Sunder, Kari and Gulati","At cupiditate nam quasi deserunt possimus. Vitae et alias eaque.
Dolore non aperiam minima modi illum explicabo rerum. Necessitatibus dolorem recusandae deserunt repellendus eos.",falgunihalder420@gmail.com,2999337.35,406655.21,approved,2020-04-07
1698,Borra Ltd,"Illo ut dicta. Id alias eligendi natus ex.
Cum consectetur mollitia. Autem facilis expedita veniam.
Harum officia architecto ad voluptas. Consequatur perferendis ea vero quo aliquid ducimus modi.",radhikaram112@gmail.com,3644510.06,835842.86,rejected,2021-01-09
1699,Kar Ltd,"Alias aut sequi nihil culpa eos. Optio nemo suscipit nemo assumenda ducimus.
Excepturi veniam nesciunt ratione. Culpa odio delectus occaecati.",vedikaahluwalia741@gmail.com,6027815.7,2075429.33,approved,2021-04-27
1700,"Gera, Deshmukh and Singh",Repudiandae dicta deserunt corporis totam. Aperiam tempore nobis voluptates adipisci culpa. Laboriosam dicta doloremque rem minus quas repudiandae.,prishasachar105@gmail.com,5359163.56,4793391.84,approved,2022-12-30
1701,Sarma Group,"Molestias consectetur dolor fugit. Expedita beatae nemo dolores dolor a.
Consequatur quisquam necessitatibus occaecati dolor facilis porro eveniet.",vaishnavimane798@gmail.com,5701260.2,289650.13,approved,2024-12-30
1702,"Chakrabarti, Rajagopalan and Bhatt","Doloribus nam quaerat. Libero qui commodi numquam molestiae ipsa explicabo. Ullam sint quod recusandae ullam quae.
Veritatis perspiciatis harum recusandae neque aperiam. Omnis aliquid corporis.",isaiahshankar951@gmail.com,5978374.26,1079691.65,pending,2021-12-16
1703,Kala PLC,"Sequi aliquam pariatur repellat temporibus. Aspernatur sint exercitationem deleniti. Ut esse amet ut asperiores iste voluptatum.
Voluptas quis incidunt sequi. Nostrum consectetur veniam.",xavierpandit687@gmail.com,6269442.94,5033508.81,rejected,2021-06-20
1704,Bhatnagar Ltd,At earum beatae velit necessitatibus. Quasi ipsam facere voluptas magni. Autem sint exercitationem voluptatum.,mohinidada602@gmail.com,7219399.68,4758883.41,pending,2022-11-17
1705,Chandran Group,"Facilis magni aperiam vitae voluptates voluptatum. Officia eos totam.
Incidunt ipsum velit recusandae. Eius corporis ducimus nobis maxime repellat. Officiis dolores illo voluptatum rerum nesciunt.",iryarau19@gmail.com,5819637.31,2698622.85,approved,2020-03-12
1706,Chana Inc,"Voluptatem voluptate earum porro. Eos nemo veritatis voluptate vel.
Ullam cum mollitia nulla eligendi ratione.
Dolores natus porro nobis. Quis occaecati temporibus eveniet est.",udantganesan685@gmail.com,4517484.69,2741190.99,pending,2023-07-31
1707,"Menon, Basak and Kapoor",Itaque vitae delectus facere placeat. Possimus debitis deserunt aliquam. Eum sapiente amet id nesciunt similique nulla quo.,ishaapte687@gmail.com,6345147.4,1929170.49,rejected,2022-05-31
1708,Dewan LLC,Minima quas adipisci sequi similique eius. Eos quas eligendi. Earum nesciunt laborum vitae.,suhanisolanki595@gmail.com,8799763.87,6074125.64,pending,2024-03-26
1709,"Das, Pal and Walia",Soluta beatae facere voluptates quibusdam. Laudantium non similique eaque commodi veniam. Excepturi eveniet rem ipsam vitae amet voluptatum qui.,bhavyanagi69@gmail.com,4734732.51,1043535.75,approved,2022-05-12
1710,Varughese-Raja,Consequatur nobis ea sequi quae. Tenetur et similique maxime accusamus earum cum. Neque sint tenetur aperiam unde sit dolores.,anushamannan657@gmail.com,3050941.39,1929526.8,approved,2022-06-14
1711,"Lala, Choudhury and Roy",Reiciendis qui nemo dolorem optio voluptatem. Nihil doloremque culpa voluptate. Nisi dolore tenetur molestiae illum quidem id.,wazirdugar712@gmail.com,7214161.34,2532538.19,pending,2021-07-12
1712,Sharma PLC,Repellendus laudantium sed quam dolor non excepturi. Fugiat eum porro soluta similique ratione soluta minus. Nemo corrupti vitae odio culpa.,zinalmand628@gmail.com,4759237.67,4402944.91,approved,2024-05-16
1713,"Soman, Sahni and Natarajan","Perferendis quo culpa eaque corrupti necessitatibus. Minus rem cum.
Aperiam repellat doloremque cumque ducimus sint. Delectus facilis eaque neque ut. Neque eius cupiditate doloremque.",darshyohannan694@gmail.com,654660.91,180513.37,rejected,2021-11-25
1714,Shan-Taneja,"Ratione nostrum exercitationem omnis dolorum dolores distinctio saepe. Nulla consequuntur ab.
Eum qui provident odit minima porro vitae. Voluptate enim commodi fuga. Ducimus dolorem ducimus quaerat.",chanchalnair887@gmail.com,6694843.35,675652.82,pending,2024-08-27
1715,"Kurian, Rai and Krishna",Nemo voluptatem sequi id. Eaque vitae reiciendis dolores sint perferendis provident illum.,divyasrinivasan454@gmail.com,3929343.63,3452443.27,approved,2021-03-29
1716,"Bhandari, Luthra and Peri",Asperiores non excepturi explicabo praesentium. Sit omnis aspernatur praesentium.,idikachada687@gmail.com,4818933.44,1834191.04,pending,2021-02-02
1717,"Ahuja, Kapoor and Kamdar",Et sed ut. Officiis occaecati repudiandae nostrum maxime. Non porro id in est dignissimos.,haritawali494@gmail.com,5663960.66,3915575.64,rejected,2024-03-31
1718,Tripathi-Kaul,"Fuga harum debitis officiis iure. Odio numquam suscipit illum occaecati.
Voluptas voluptate maxime minima occaecati quod. Omnis sed odio soluta sint itaque expedita quibusdam.",rehaannarasimhan59@gmail.com,5380999.36,2967214.47,approved,2022-10-07
1719,Gopal LLC,Ad laboriosam nam occaecati qui quam quibusdam dolores. Sequi eligendi minima amet quisquam sint praesentium.,sainatt3@gmail.com,6418903.63,4230056.15,approved,2020-02-21
1720,Dyal-Sinha,Eligendi officiis consequuntur sequi. Praesentium voluptas inventore atque tenetur dolorum nobis et.,udarshtella526@gmail.com,4129027.26,2599961.54,approved,2024-08-18
1721,"Koshy, Nori and Hayer","Debitis similique reprehenderit facere est ducimus. Fuga perferendis beatae dolores. Tempore nesciunt provident autem.
Vitae culpa quidem itaque optio modi odio. Corporis soluta rerum sed recusandae.",balveermohanty337@gmail.com,6026211.6,4028048.8,rejected,2023-06-30
1722,"Mutti, Arora and Kaul","Id reprehenderit amet. Numquam qui accusamus ipsa quam labore illum. Hic exercitationem quos laudantium voluptatum nobis.
Nam neque deleniti ab.",ekanshsandhu963@gmail.com,4480906.64,3385349.32,rejected,2020-01-16
1723,De-Sur,"Repellat placeat ex. Dicta aliquam nam aperiam.
Incidunt dicta mollitia voluptatum ullam. Repellat vero aliquid accusamus fugiat quae velit. Occaecati adipisci hic et occaecati qui debitis.",jacobedwin665@gmail.com,6477620.96,498682.13,pending,2023-01-03
1724,Nayar and Sons,Quam ipsa sint ipsa aspernatur laborum. Impedit voluptatem reprehenderit nam iste fugit. Sed provident sint corrupti nulla inventore.,gavinperi386@gmail.com,6230734.97,3561417.69,pending,2022-01-11
1725,"Hayre, Hans and Johal","Harum consequatur dicta dicta. Temporibus aperiam aut aliquid hic fuga. Quas ut explicabo eveniet.
Nulla velit reprehenderit dolore. Ea debitis nam quidem molestiae.",sakshamanand969@gmail.com,3129122.6,1693792.92,rejected,2023-04-17
1726,Vyas-Chowdhury,Sit voluptatibus dolorum alias dicta iure dicta. Corrupti sunt minima ullam. Tempora inventore similique earum esse assumenda voluptate.,yutikabalan687@gmail.com,7171964.23,5177153.28,pending,2022-12-31
1727,Thakkar PLC,Nobis sed iure sequi ratione vel odit possimus. Sapiente eos veniam dolores. Dolorem perferendis incidunt provident.,atipandit164@gmail.com,3928073.11,397441.04,approved,2023-03-25
1728,Upadhyay-Munshi,Velit vero ullam nesciunt accusamus. Et quos quae labore explicabo. Temporibus itaque autem iste.,netradeol593@gmail.com,6616115.6,4528717.98,rejected,2022-09-06
1729,Kashyap PLC,"Sit repellat deserunt distinctio facilis tempora nisi. A esse officiis.
Sapiente distinctio quas illo exercitationem. Tempore deserunt rem voluptates consequuntur aspernatur.",nandinisarna492@gmail.com,5734574.63,3370098.08,rejected,2020-03-28
1730,Sarkar-Morar,"Necessitatibus maiores odit voluptate. Ipsum officia dolore iusto.
Eaque enim quod voluptas cumque aut culpa. Ratione soluta provident rerum nam deserunt recusandae.",andrewraval277@gmail.com,8676367.35,8640260.49,approved,2021-11-20
1731,Dugar Ltd,Repellat natus corrupti voluptate debitis. Quasi exercitationem ea ut aspernatur pariatur voluptas. Dicta explicabo natus incidunt harum eligendi labore reiciendis.,anyasetty749@gmail.com,4553068.04,1108184.17,approved,2023-07-17
1732,Sachar-Chhabra,"Alias quae fuga. Et soluta itaque magni sapiente maxime. Distinctio deserunt debitis.
Excepturi impedit at ut veritatis.",abhiramkoshy60@gmail.com,4301366.41,1914180.01,rejected,2023-02-02
1733,Aggarwal-Kamdar,"Expedita dolor molestiae veniam eligendi. Aspernatur minima provident numquam exercitationem nulla omnis eum.
Accusantium cumque sint voluptate iure. Nam nisi enim vel sed perspiciatis numquam.",samarthnagy803@gmail.com,4961160.79,301656.77,rejected,2021-03-06
1734,Ram-Badami,"Dolores deleniti numquam sed.
Hic sequi quidem quis natus quidem voluptatibus saepe. Voluptatibus labore omnis officia. Eos repellat error exercitationem.",panininarang976@gmail.com,4393640.43,1841144.1,pending,2023-02-16
1735,Maharaj Inc,"Reiciendis modi quia enim. Tempore molestiae labore molestiae quam. Sequi ex quasi perspiciatis.
Corporis ad recusandae laborum architecto non. Debitis dolorum animi nobis asperiores.",pranavtank82@gmail.com,6599883.8,5997829.11,pending,2022-05-28
1736,"Khalsa, Hayre and Singhal",Beatae repellat delectus doloremque. Voluptas ipsum tempore dolores. Ratione aliquam veritatis autem.,kaichowdhury397@gmail.com,1767378.78,273028.91,pending,2022-07-11
1737,"Bose, Malhotra and Sandhu",Voluptatum quibusdam fugiat optio quos a cum. Quaerat dolores quaerat cumque corporis aspernatur. Sequi quod qui voluptas.,adityanadkarni577@gmail.com,2892635.16,1927115.24,rejected,2024-06-30
1738,Sawhney LLC,"Labore quaerat recusandae id. Enim aut officia est libero itaque. Nostrum illo commodi unde ducimus voluptates consequuntur enim.
Enim nam tempora labore amet.",unnikaur576@gmail.com,2864394.16,1354956.14,rejected,2021-01-09
1739,"Kari, Devi and Purohit","Odio occaecati expedita impedit culpa iure.
Magni voluptas quia sit.
Porro cum vitae quibusdam consequatur laboriosam eaque temporibus. Velit blanditiis repellat suscipit necessitatibus nemo.",pavanideshpande752@gmail.com,6900615.18,3047118.88,pending,2024-09-19
1740,"Bandi, Madan and Nadig","Molestias suscipit repellat molestiae illum.
Sunt numquam dolorum velit totam. Mollitia animi blanditiis dignissimos. Assumenda officiis itaque est.",vedabawa629@gmail.com,8421226.75,6401494.74,rejected,2020-02-23
1741,"Contractor, Anne and Shankar","Consectetur a consectetur deleniti cumque enim. Earum placeat temporibus similique.
Perspiciatis vel perferendis sapiente. In ipsam ullam quam.",lukegade245@gmail.com,4791101.56,3374039.06,rejected,2024-05-07
1742,"Kant, Mannan and Kapur","Libero culpa molestias omnis velit quidem expedita quia. Asperiores quidem culpa.
Rem corporis atque. Aspernatur fugiat sed cupiditate. Voluptates error alias aliquam nemo distinctio beatae.",indalibobal335@gmail.com,4662356.55,787778.93,rejected,2021-10-09
1743,Bajwa PLC,"Perspiciatis cum modi. Laudantium tenetur voluptatum amet ullam ducimus adipisci.
Eaque eligendi aut similique consequatur unde officia. Modi repellat perspiciatis hic quae illo magni.",aashibandi991@gmail.com,5140104.33,782813.15,pending,2024-01-11
1744,"Ram, Dalal and Soni",Nam quia repudiandae aperiam corrupti. Nesciunt aperiam exercitationem recusandae inventore molestias neque. Similique laboriosam nesciunt.,avidas503@gmail.com,7323756.61,1578104.63,pending,2022-11-05
1745,Jha-Nazareth,"Repellendus expedita rem perspiciatis. Totam minus officia vel repellendus ut.
Voluptate similique non delectus. Quasi voluptatum expedita eum non quidem fuga.",nisharatta665@gmail.com,3145293.73,707347.87,pending,2021-03-15
1746,Kashyap-Roy,Tempore quaerat earum quaerat natus doloribus accusantium. Expedita itaque officiis praesentium est vel odit. Illum tempore autem neque ducimus laudantium sunt accusantium.,omyaraj69@gmail.com,5476737.97,2365885.54,pending,2022-04-17
1747,Saraf-Madan,Iure ducimus suscipit ipsum. Mollitia fugit at commodi voluptatibus voluptas ut. Aspernatur perferendis dicta dolorem.,sachiaggarwal683@gmail.com,6950395.26,985540.85,pending,2024-07-23
1748,"Bedi, Shankar and Mishra",Vero sequi alias cupiditate facilis cupiditate repudiandae perferendis. Earum quis aliquam animi. Vero asperiores rerum labore quibusdam error repudiandae.,krishnaghose393@gmail.com,6002188.34,4544272.39,pending,2024-08-08
1749,Lad Ltd,Voluptas consectetur nihil. Cum inventore cum officiis. Neque ratione blanditiis praesentium similique similique quaerat.,lohitsubramanian648@gmail.com,5379163.23,1501142.7,pending,2022-01-11
1750,Sur-Bakshi,Necessitatibus totam odio ad. Ducimus aut impedit vero doloribus. Voluptate qui eligendi rem ex. Dolores eligendi nesciunt.,anikachaudhry297@gmail.com,7002092.19,1971448.36,approved,2022-09-10
1751,Chand-Mannan,Quam labore minima quos laboriosam debitis delectus. Exercitationem consequuntur quos. Minus recusandae molestiae ad aliquam dolores facilis. Atque aspernatur tenetur quos temporibus corrupti.,saanviganesan970@gmail.com,406464.59,223207.17,pending,2024-12-18
1752,Gour-Ganesh,"Est nostrum fuga repellat voluptas.
Neque perspiciatis deleniti recusandae rerum nam tempora saepe. Cum aspernatur adipisci at recusandae. Deleniti debitis iusto saepe velit repellat odit.",manthantaneja378@gmail.com,6355750.64,2541274.77,pending,2022-07-01
1753,Dave-Dugar,"Inventore at neque reprehenderit eius ratione. Est fugiat non architecto illo officia vel enim. Provident eligendi exercitationem architecto ducimus.
Necessitatibus corrupti assumenda architecto.",ekalingashankar775@gmail.com,3691848.63,598604.27,rejected,2022-11-25
1754,Kapadia-Parekh,Sit expedita vero quia. Harum quam magni impedit nam sed exercitationem. Saepe enim voluptate laboriosam quibusdam reiciendis perferendis.,labandara97@gmail.com,1338734.21,913085.49,rejected,2023-10-27
1755,Prasad and Sons,"Rem officia laborum vero odio mollitia sint modi. Commodi fugit rem voluptatem. Soluta reiciendis aliquid aut.
Perspiciatis nisi quae vel soluta. Suscipit consequuntur alias id eos sit ducimus.",mekhalaviswanathan799@gmail.com,6022405.2,2086895.41,approved,2020-02-08
1756,"Gola, Natt and Gokhale","Eius corporis possimus voluptates. Error quae quasi possimus alias aliquid.
Sequi culpa iste consequatur culpa natus accusamus dolore. Quae dignissimos veritatis accusantium illum.",devikagrewal453@gmail.com,7747317.09,1059380.94,approved,2023-07-22
1757,Shankar Inc,"Illo sequi laudantium facere est. Tenetur aut deserunt harum ad tenetur. Cum officia aliquid a cumque.
Rem nam aperiam nulla officiis aut mollitia. Quam autem libero id odit eaque.",devanshnarasimhan66@gmail.com,4725102.97,46243.83,rejected,2021-08-27
1758,Cherian and Sons,Voluptate atque placeat amet beatae nulla. At voluptas occaecati maxime soluta harum. Eaque consequatur quasi debitis.,tristanjha737@gmail.com,6905749.09,5723120.2,approved,2024-05-03
1759,"Sethi, Shetty and Kaul",Fuga illo doloremque sed iste. Nemo aliquid laudantium fugit laboriosam. Laboriosam aut quibusdam nisi qui recusandae asperiores. Suscipit necessitatibus necessitatibus itaque asperiores pariatur.,triptiborra207@gmail.com,8224556.52,145855.69,pending,2022-06-29
1760,Varty-Rout,Eius labore tenetur cupiditate inventore perspiciatis corrupti. At ipsa numquam suscipit.,isaiahbhargava24@gmail.com,7629828.91,5621688.38,rejected,2023-05-24
1761,"Dube, Mohan and Chanda",Voluptatem mollitia hic iste eligendi. Debitis provident vitae sed harum optio laudantium. Labore ea aspernatur eveniet maiores tempore cumque. Temporibus excepturi asperiores neque corporis.,jacksonsarna229@gmail.com,8279929.06,7653412.05,rejected,2022-09-13
1762,Mannan LLC,"Reiciendis vel illum.
Illo ullam laboriosam rem incidunt adipisci.
Cumque magnam dolorem illo exercitationem officiis maiores. Pariatur ab ipsum nulla.",wahabnazareth171@gmail.com,6484254.98,3534782.21,pending,2022-06-07
1763,Vyas Ltd,"Enim alias ab facilis.
Repellendus omnis sint exercitationem. Ipsa quis doloremque porro maxime eaque nisi.",harinakshikala235@gmail.com,5150867.28,3189624.67,pending,2021-09-17
1764,Memon-Halder,Porro repellendus animi itaque dolorem voluptatem. Incidunt officia deserunt temporibus ducimus a nobis temporibus.,oscarbhatia532@gmail.com,1796068.38,346852.62,rejected,2023-03-10
1765,Raj LLC,Est libero facilis praesentium sint vitae. Laborum omnis magni doloremque voluptatem laborum numquam. Recusandae sunt ducimus.,yauvanidhingra31@gmail.com,4507875.02,3930415.33,approved,2021-01-28
1766,Pant-Madan,Sint consectetur dolores quas. Sit neque laudantium perferendis. Occaecati ipsam aliquam eligendi.,zansiroy653@gmail.com,3313506.81,2987916.31,approved,2024-12-01
1767,Mody Group,"Architecto magnam rem facere. Architecto corrupti at tempora.
Est doloremque quia exercitationem ratione voluptas culpa autem. Ex eos aliquam ad ullam nihil amet amet.",chaturachahal13@gmail.com,9341885.43,2011361.96,approved,2020-12-02
1768,Sengupta-Batra,"Esse explicabo dolorem. Ab ipsa cumque totam. Ratione nulla ducimus eius accusantium nam quisquam.
Enim culpa culpa minus. Mollitia amet tempore dolorem ad harum magni.",harrisonsampath433@gmail.com,4648228.38,2103462.36,approved,2024-03-30
1769,Dewan Ltd,Quis impedit enim id. Pariatur iste veritatis eveniet tempore ullam sed.,rajeshriwadhwa436@gmail.com,5246409.61,4399884.61,rejected,2021-03-19
1770,Borah-Johal,"Provident impedit qui veniam.
Omnis animi accusantium autem unde. Dolores dolores atque provident nesciunt.",adyasane979@gmail.com,6102970.75,4842874.84,rejected,2024-11-07
1771,Shroff-Handa,"Iusto hic optio sapiente voluptates. Dolorem nisi molestias ipsa placeat. Neque illo voluptatibus.
Corrupti rem iure vel. At necessitatibus magnam consequuntur.",jatinmani428@gmail.com,5087204.89,3434195.11,rejected,2020-08-07
1772,Bora-Menon,"Ipsum vitae magnam sed. Ducimus dignissimos incidunt placeat aperiam. Voluptates voluptates doloremque quisquam deserunt.
Vero sed dolores assumenda cum.",amaradora67@gmail.com,8390102.08,622779.58,pending,2021-05-26
1773,"Prakash, Keer and Dhar","Laborum itaque maxime aspernatur totam minima. Necessitatibus vitae odit modi dignissimos minima sapiente.
Corrupti eos voluptate. Ratione blanditiis voluptate rerum eos alias.",ishwaruppal417@gmail.com,3754701.28,1424157.62,pending,2022-07-08
1774,Gopal PLC,Quidem doloribus tempora optio nulla tempora. Veniam esse dolorem nisi in exercitationem. Reiciendis nihil quisquam quo blanditiis quis dignissimos.,lakshbhattacharyya83@gmail.com,5389214.91,847886.81,approved,2021-08-03
1775,Dugal PLC,Et soluta voluptatem totam illum tempore. Quasi quia officia ab voluptates. Perferendis accusantium aliquid non aliquid accusantium.,tanveerbasu686@gmail.com,3515058.83,3476310.97,pending,2020-11-21
1776,"Kashyap, Jain and Radhakrishnan","Voluptates quaerat quae. Et nihil soluta illo. Placeat neque quasi est iure enim.
Iure similique perspiciatis impedit non error facere dolores.",girishkrishnan572@gmail.com,2359954.98,319395.55,approved,2021-09-09
1777,Mane PLC,"Sunt asperiores veritatis consectetur aut. Mollitia sunt soluta.
Dolore maiores aperiam tempora eveniet. Officiis amet tempora recusandae. Dignissimos sunt error provident.",ranveerprashad619@gmail.com,3776461.82,3407043.85,rejected,2024-08-08
1778,Nadig Group,Laborum iure sequi ad recusandae cum. Illum dolor officiis similique. Minus quia eveniet molestias doloremque facilis.,bishakhabhavsar267@gmail.com,4925926.41,3048196.16,rejected,2021-02-04
1779,Thakkar LLC,Culpa laboriosam ipsum. Quibusdam temporibus cupiditate ullam optio impedit. Omnis debitis voluptatibus esse veniam reiciendis dolor mollitia. Natus eum placeat.,qabilsandal452@gmail.com,4141395.55,1570537.53,rejected,2020-07-29
1780,Mitter PLC,Illo praesentium nam qui et. Iusto libero repellat magni temporibus saepe quisquam. Quaerat error possimus vel consectetur numquam.,lukearora165@gmail.com,3615158.04,1743792.09,rejected,2022-03-16
1781,Peri Group,Reprehenderit perspiciatis qui ad voluptatum quidem laborum. Ut doloribus asperiores omnis iure. Omnis eaque perferendis illum perspiciatis vel.,kamyachand572@gmail.com,2187365.07,2116748.15,pending,2021-01-07
1782,Behl-Dave,"Dolore perspiciatis voluptatum vel tenetur. Fuga praesentium natus magnam.
Modi distinctio soluta aperiam praesentium. Voluptates et tempore nihil consequatur incidunt rerum.",turvipalla902@gmail.com,4833788.85,4779622.53,approved,2024-04-08
1783,"Gill, Dixit and Sheth",Esse eveniet placeat enim. Alias labore culpa voluptate modi nam. Quod a debitis optio ipsum.,maanasdin328@gmail.com,1990559.25,514874.71,approved,2023-04-21
1784,D’Alia PLC,"Vel laboriosam eligendi explicabo ipsum. Consequatur vero repellat corporis eligendi consequatur. Itaque corporis doloribus neque nemo.
Eaque eum nemo eligendi. Impedit quisquam nihil distinctio.",qabildeep454@gmail.com,6520111.93,2988329.01,rejected,2021-06-11
1785,"Ramesh, Rau and Saini",Corrupti aspernatur cupiditate cum. Quo ad modi doloribus aperiam adipisci. Voluptatem ut veniam earum voluptatem voluptatibus. Molestias mollitia nam molestiae.,niteshbali212@gmail.com,5164879.51,3415924.69,approved,2022-07-15
1786,"Nanda, Prasad and Prasad",Dicta sed fuga adipisci dolore debitis illo. Voluptatem quod reprehenderit illo. At impedit illo enim aperiam at quo.,adyasane979@gmail.com,2084897.0,1858092.87,approved,2022-10-15
1787,Babu and Sons,Labore architecto animi autem quo corporis facere. Quam eius quia repellat amet quaerat maiores. Ipsum quia ut explicabo aspernatur culpa.,utkarshkalla350@gmail.com,4381581.85,3275749.75,rejected,2023-09-22
